SIDO,GUGUN,DONG,ADD,latitude,longitude,,,,
강원,원주시,개운동,강원 원주시 개운동,37.3400805,127.9557417,,,,
강원,원주시,관설동,강원 원주시 관설동,37.3053757,127.9975472,,,,
강원,원주시,귀래면,강원 원주시 귀래면,37.1699883,127.8848209,,,,
강원,원주시,단계동,강원 원주시 단계동,37.3514366,127.927753,,,,
강원,원주시,단구동,강원 원주시 단구동,37.3258832,127.9530295,,,,
강원,원주시,명륜1동,강원 원주시 명륜1동,37.3412193,127.9532699,,,,
강원,원주시,명륜2동,강원 원주시 명륜2동,37.3315813,127.9439101,,,,
강원,원주시,명륜동,강원 원주시 명륜동,37.3349979,127.9442525,,,,
강원,원주시,무실동,강원 원주시 무실동,37.3281893,127.9194485,,,,
강원,원주시,문막읍,강원 원주시 문막읍,37.312596,127.8172289,,,,
강원,원주시,반곡동,강원 원주시 반곡동,37.3263326,127.9846867,,,,
강원,원주시,봉산동,강원 원주시 봉산동,37.3530418,127.978418,,,,
강원,원주시,부론면,강원 원주시 부론면,37.2075839,127.7504828,,,,
강원,원주시,소초면,강원 원주시 소초면,37.4179049,128.0022421,,,,
강원,원주시,신림면,강원 원주시 신림면,37.2307177,128.0794559,,,,
강원,원주시,우산동,강원 원주시 우산동,37.3716044,127.9404923,,,,
강원,원주시,원동,강원 원주시 원동,37.3440842,127.9466322,,,,
강원,원주시,원주우체국사서함,강원 원주시 원주우체국사서함,37.328887,127.950465,,,,
강원,원주시,인동,강원 원주시 인동,37.3462348,127.9543887,,,,
강원,원주시,일산동,강원 원주시 일산동,37.348312,127.9437768,,,,
강원,원주시,중앙동,강원 원주시 중앙동,37.3528008,127.9474652,,,,
강원,원주시,지정면,강원 원주시 지정면,37.362118,127.8401841,,,,
강원,원주시,태장1동,강원 원주시 태장1동,37.3552726,127.9552693,,,,
강원,원주시,태장2동,강원 원주시 태장2동,37.3824643,127.9518799,,,,
강원,원주시,태장동,강원 원주시 태장동,37.3736804,127.9579728,,,,
강원,원주시,판부면,강원 원주시 판부면,37.2894612,127.9962609,,,,
강원,원주시,평원동,강원 원주시 평원동,37.3506411,127.9524134,,,,
강원,원주시,학성동,강원 원주시 학성동,37.3590214,127.9453782,,,,
강원,원주시,행구동,강원 원주시 행구동,37.3438308,127.9948218,,,,
강원,원주시,호저면,강원 원주시 호저면,37.4110242,127.9256741,,,,
강원,원주시,흥업면,강원 원주시 흥업면,37.3028977,127.9211331,,,,
강원,인제군,기린면,강원 인제군 기린면,37.9555455,128.3192659,,,,
강원,인제군,남면,강원 인제군 남면,37.9658964,128.0833257,,,,
강원,인제군,북면,강원 인제군 북면,38.1246577,128.2041657,,,,
강원,인제군,상남면,강원 인제군 상남면,37.8740954,128.2599315,,,,
강원,인제군,서화면,강원 인제군 서화면,38.2183428,128.2085157,,,,
강원,인제군,인제읍,강원 인제군 인제읍,38.0703432,128.1722052,,,,
강원,정선군,고한읍,강원 정선군 고한읍,37.2041439,128.851893,,,,
강원,정선군,남면,강원 정선군 남면,37.2687981,128.740604,,,,
강원,정선군,북평면,강원 정선군 북평면,37.4488842,128.6704496,,,,
강원,정선군,사북읍,강원 정선군 사북읍,37.2277495,128.8217326,,,,
강원,정선군,신동읍,강원 정선군 신동읍,37.2121711,128.6420983,,,,
강원,정선군,여량면,강원 정선군 여량면,37.4705941,128.7204545,,,,
강원,정선군,임계면,강원 정선군 임계면,37.4947946,128.8521073,,,,
